TIME(MS),COMMAND,VALUE
813.0   ,5      ,1    
987.0   ,5      ,0    
2508.0  ,5      ,1    
2589.0  ,5      ,0    
2984.0  ,5      ,1    
3100.0  ,5      ,0    
3448.0  ,5      ,1    
3529.0  ,5      ,0    
4017.0  ,5      ,1    
4110.0  ,5      ,0    
5039.0  ,5      ,1    
5166.0  ,5      ,0    
5642.0  ,5      ,1    
5770.0  ,5      ,0    
6107.0  ,5      ,1    
6188.0  ,5      ,0    
7105.0  ,5      ,1    
7245.0  ,5      ,0    
7918.0  ,5      ,1    
8034.0  ,5      ,0    
8475.0  ,5      ,1    
8591.0  ,5      ,0    
9172.0  ,5      ,1    
9334.0  ,5      ,0    
10240.0 ,5      ,1    
10461.0 ,5      ,0    
11598.0 ,5      ,1    
11761.0 ,5      ,0    
12225.0 ,5      ,1    
12388.0 ,5      ,0    
15254.0 ,5      ,1    
15434.0 ,5      ,0    
16346.0 ,5      ,1    
16509.0 ,5      ,0    
19320.0 ,5      ,1    
19482.0 ,5      ,0    
20939.0 ,5      ,1    
21101.0 ,5      ,0    
21403.0 ,5      ,1    
21565.0 ,5      ,0    
22446.0 ,5      ,1    
22616.0 ,5      ,0    
23502.0 ,5      ,1    
23610.0 ,5      ,0    
24310.0 ,5      ,1    
24380.0 ,5      ,0    
25565.0 ,5      ,1    
25950.0 ,5      ,0    
26596.0 ,5      ,1    
27017.0 ,5      ,0    
29079.0 ,5      ,1    
29650.0 ,5      ,0    
29750.0 ,END    ,1    
