TIME(MS),COMMAND,VALUE
929.0   ,5      ,1    
1207.0  ,5      ,0    
2543.0  ,5      ,1    
2821.0  ,5      ,0    
3715.0  ,5      ,1    
3994.0  ,5      ,0    
7082.0  ,5      ,1    
7361.0  ,5      ,0    
8429.0  ,5      ,1    
8707.0  ,5      ,0    
10054.0 ,5      ,1    
10333.0 ,5      ,0    
11656.0 ,5      ,1    
11935.0 ,5      ,0    
12980.0 ,5      ,1    
13259.0 ,5      ,0    
16091.0 ,5      ,1    
16370.0 ,5      ,0    
17763.0 ,5      ,1    
18042.0 ,5      ,0    
19180.0 ,5      ,1    
19458.0 ,5      ,0    
20735.0 ,5      ,1    
21014.0 ,5      ,0    
22384.0 ,5      ,1    
22663.0 ,5      ,0    
22763.0 ,END    ,1    
