TIME(MS),COMMAND,VALUE
2090.0  ,5      ,1    
2264.0  ,5      ,0    
3262.0  ,5      ,1    
3437.0  ,5      ,0    
5422.0  ,5      ,1    
5596.0  ,5      ,0    
6560.0  ,5      ,1    
6734.0  ,5      ,0    
7546.0  ,5      ,1    
7721.0  ,5      ,0    
8626.0  ,5      ,1    
8800.0  ,5      ,0    
9613.0  ,5      ,1    
9787.0  ,5      ,0    
10658.0 ,5      ,1    
10832.0 ,5      ,0    
11726.0 ,5      ,1    
11900.0 ,5      ,0    
13909.0 ,5      ,1    
14083.0 ,5      ,0    
14954.0 ,5      ,1    
15128.0 ,5      ,0    
19331.0 ,5      ,1    
19505.0 ,5      ,0    
20434.0 ,5      ,1    
20608.0 ,5      ,0    
21420.0 ,5      ,1    
21595.0 ,5      ,0    
22570.0 ,5      ,1    
22744.0 ,5      ,0    
23580.0 ,5      ,1    
23754.0 ,5      ,0    
24660.0 ,5      ,1    
24834.0 ,5      ,0    
25786.0 ,5      ,1    
25960.0 ,5      ,0    
28224.0 ,5      ,1    
28398.0 ,5      ,0    
29396.0 ,5      ,1    
29571.0 ,5      ,0    
29671.0 ,END    ,1    
